Industry_Sector,Production_Volume_tons,Energy_Source,Fuel_Consumption_GJ,Emission_Factor_kgCO2_per_GJ,Location_Region,Year,Process_Type,Efficiency_GJ_per_ton,Total_CO2_Emissions_MtCO2,Emission_Intensity_kgCO2_per_ton
Fertilizer,59772.82987009259,Natural Gas,153288.69637394525,85.97872323029115,India-North,2017.0,Chemical Reaction,2.8585886664794993,0.013179566399867573,220.49426852487014
Fertilizer,,Electricity,108971.89820944272,72.98773555885262,India-South,2023.0,Mixed Process,4.3138152329347275,0.00795361208985701,241.4963087875726
Steel,46977.626990787234,Oil,267746.8536551442,64.29586348443634,India-Central,2021.0,Mixed Process,3.071786348793659,0.017215015150998506,366.4513568208658
Power,49902.18027155813,Electricity,197493.83795204156,67.83045314416103,India-South,2021.0,Chemical Reaction,,0.013396096521466486,268.44711891479466
Oil & Gas,,Oil,75370.45281584111,99.59009103162052,India-West,2022.0,Mixed Process,4.342122748099859,0.007506150257024075,127.26189289865798
Cement,60025.107330771214,,152982.5862765383,78.32595447338193,India-North,2019.0,Combustion,2.3957350293072888,0.011982507087916362,199.62491731811798
Power,38987.39301832256,Electricity,200300.10508611222,90.2008701812776,India-South,2016.0,,4.913109215990688,0.018067243776168668,463.4124617585424
Steel,51229.933346203405,Natural Gas,202084.94838966837,62.95361101456871,India-Central,2023.0,Chemical Reaction,4.158474051257128,0.012721977232822375,248.33093470665597
Fertilizer,56859.20606922862,Electricity,170035.65865935,,India-Central,2017.0,Combustion,4.53350723814188,0.01583944779720452,278.5731439499751
Oil & Gas,,Coal,20000.0,88.42029327795086,India-South,2016.0,Combustion,4.0018079228648205,0.0017684058655590173,24.616807815736497
Power,60567.59809737085,Natural Gas,166885.27061039052,73.46377618353986,,2024.0,Chemical Reaction,3.6397785232926623,0.012260022168451212,202.41882712174782
Cement,61835.850310632784,Natural Gas,264261.9988833602,84.13409821677365,India-South,2024.0,Mixed Process,5.408146041646562,0.02223344496901355,359.5559025601444
Cement,,Biomass,284143.6678707462,94.40901460631243,India-Central,2019.0,Combustion,5.737430340014484,0.02682572369030047,523.353193771043
Chemicals,71156.88717805257,Natural Gas,163550.54219458406,58.37967956724299,India-South,2022.0,Mixed Process,5.662833265874632,0.00954802824636867,134.18277028444322
Chemicals,56146.44193939246,Oil,313000.0465801403,67.11399533345214,India-West,2017.0,Chemical Reaction,2.85905300625385,0.021006683665549836,374.14095960391575
Steel,37083.68134739644,Electricity,102979.33491511113,82.86050897216808,India-East,2020.0,Combustion,6.166288769686339,0.008532920104681468,230.09905690715746
Power,71050.54955187786,Coal,151398.10888222652,75.30372399546481,India-South,2023.0,Chemical Reaction,5.175503972561775,0.011400841404702515,160.46098836122502
Power,60468.54908808541,Oil,,81.16933506788958,India-Central,2016.0,Mixed Process,5.9993134752514266,0.02057559586823597,340.2693826548278
Fertilizer,,Oil,244043.31230019618,85.32232286967746,India-South,2022.0,Chemical Reaction,5.979203411660465,0.020822342286262868,480.282768425896
Fertilizer,42807.60548901135,Oil,199422.85529027885,82.47933456214501,India-South,2024.0,Combustion,4.918918459895039,0.016448264400825138,384.23696473859957
Fertilizer,54448.63317711143,Oil,132852.4512751813,71.20746475901501,India-North,2021.0,Chemical Reaction,3.5466545774010627,0.00946008624232623,173.74331898386325
Chemicals,56947.77192901377,Coal,132692.11858413933,72.24070052345316,India-South,2017.0,Chemical Reaction,3.5899544302473703,0.009585771600459344,168.32566535540928
Power,52959.3839844681,Biomass,156458.97792450665,98.33007051306708,India-West,2015.0,Chemical Reaction,3.6834425461729854,0.015384622331719146,290.498513657771
Power,54669.63010164327,Natural Gas,135299.51829079675,76.29303533567325,India-Central,2020.0,Mixed Process,4.282783265935865,0.010322410929859327,188.814354709692
Cement,75499.3606186457,Oil,207842.18903545418,95.32976678846879,India-North,2016.0,,3.3136098017387865,0.01981354740955469,262.43331396718395
Chemicals,66073.14728352329,Natural Gas,194463.95889395155,96.37237003387125,India-South,2017.0,Mixed Process,2.441757470809605,0.018740952604779426,283.63947193798765
,52859.53386897536,Natural Gas,130318.29014582494,63.28576737401163,India-East,2019.0,Mixed Process,2.479371815166133,0.008247292994747628,156.02280972038952
Chemicals,64119.65871151225,Oil,178707.02795996785,86.03264869073715,India-West,2022.0,Combustion,4.459406009927199,0.015374638955045655,239.78042403842744
Oil & Gas,34512.141447086906,Biomass,41033.81112151328,58.79682295915052,India-West,,Mixed Process,,0.002412657727850838,69.90750578459064
,55968.90574920213,,220353.22875950468,99.25750069742995,India-West,2020.0,,5.111799551134245,0.021871710757277476,390.78324767121734
,77139.59524599665,Electricity,243003.53629283427,77.82838205132306,India-North,2015.0,Combustion,4.283463213170633,0.018912572062421255,245.17333805174158
Power,46729.31156911439,Natural Gas,145291.39317158025,77.10025366312972,India-South,2021.0,Mixed Process,5.882870931538775,0.01120200326859835,239.72112775575926
Cement,37285.49107071373,Oil,152817.44138807865,62.023134595134124,,2018.0,Chemical Reaction,3.7928571113744267,0.009478216735696822,254.2065683866394
Power,,Coal,215473.32427767522,65.89813764931066,India-South,,Mixed Process,4.896476234663025,,
Fertilizer,,Natural Gas,206375.96835017425,78.39284847834192,India-East,2023.0,Combustion,5.162519178008199,0.016178400016446298,480.70591380836214
Steel,38228.57137808445,Biomass,246387.10136490088,,India-South,2023.0,Chemical Reaction,4.564173942453283,0.018815321781243847,492.17956891871273
Steel,44442.37852114956,Electricity,153399.21979618273,69.22324850757764,India-South,2017.0,Combustion,5.716416418993105,0.01061879231281968,238.9339334699724
Cement,28916.49471232037,Electricity,160366.55976366578,88.1750856838587,India-South,2020.0,Chemical Reaction,5.131400192666046,0.014140335147986877,489.0058524957433
Steel,50234.27500924405,Coal,186758.09099262068,74.96308205151047,India-Central,2021.0,Chemical Reaction,5.466403160342392,0.013999962098863283,278.6934238881128
Oil & Gas,63534.15760679971,Coal,136032.6725272784,59.84004511679215,India-North,2018.0,Chemical Reaction,3.7307589347780112,0.00814020126139015,128.1232264346407
Steel,,Natural Gas,185451.25675076642,85.80571973655893,India-South,2020.0,,4.236772187514984,0.015912778561548897,437.3606103230517
Power,72789.25885462653,,137013.61050436163,57.61085727797245,India-West,,Chemical Reaction,1.8760548454255637,0.007893471559906485,108.44280714097106
Power,57661.88132791392,Biomass,225054.21305404202,46.148441388121185,India-Central,2024.0,Chemical Reaction,4.424634929702034,0.010385901160274196,180.1172788867438
Power,65458.70878436086,Electricity,143881.64268917596,76.44235184979442,India-South,2020.0,Chemical Reaction,2.855633718143811,,168.02426078102144
Power,40132.481692217945,Coal,215173.56476960116,59.53969996752895,India-Central,2021.0,,7.316346019039187,0.01281136948732571,319.2269440394451
,62817.87840599923,Biomass,287396.97427088226,77.67168079270316,India-North,2020.0,Chemical Reaction,4.861504487416292,0.022322606046356688,355.354345176752
Chemicals,33620.9914940703,Oil,225693.45060241068,87.24537152661415,,2021.0,Mixed Process,4.0219126081787335,0.01969070894893086,585.6671107514389
Fertilizer,63353.71251254763,Electricity,210553.16334565205,89.76755708360145,India-West,2015.0,Combustion,5.403101266119525,0.018900843109763678,298.33836661143164
Cement,52577.59009690297,Electricity,118181.59950604434,82.46472292974342,India-South,2020.0,Chemical Reaction,2.831147155088841,0.00974581285865985,185.3605850077544
,,Oil,283342.07196908636,55.10905130649721,India-West,,Chemical Reaction,3.907294866561137,,267.83949707381277
Steel,32366.080915627226,Electricity,,64.19771925618777,India-East,2017.0,Chemical Reaction,4.081571597346919,0.017137176281040643,529.4794981732356
Power,36573.95236585093,Oil,190619.28397869304,75.08123174827996,,2020.0,Chemical Reaction,,,391.31484869156446
Steel,58958.42327380077,Electricity,176952.97964647243,75.22619509094095,India-Central,2018.0,Chemical Reaction,3.326145446340855,0.013311499368808837,225.77773674493838
Fertilizer,35774.77993663699,Natural Gas,151161.19071889218,60.87135708202064,India-Central,2021.0,Mixed Process,3.663304148572296,0.009201386817193109,257.2031703197134
,56948.094381486844,Oil,307362.61662294925,68.06350850878242,,2021.0,Mixed Process,4.633903460292672,0.020920178071797736,367.3551907050052
Fertilizer,29492.932903096313,Biomass,247037.8744349745,87.1553718763652,India-West,2023.0,Chemical Reaction,5.257707600138629,0.021530677813927014,730.0283727179475
Steel,62722.61319000002,Natural Gas,154495.53251839598,82.55615636365002,India-East,2018.0,Chemical Reaction,4.753697298096106,0.012754557340074076,203.34862805281776
Power,31512.150278472363,Biomass,265956.1790283243,70.37319578121195,India-North,2022.0,Chemical Reaction,3.4125947629611986,0.018716186255983324,593.9355483706661
Fertilizer,58284.49906519285,Electricity,280348.92050945247,90.44478616259279,India-North,2022.0,Combustion,4.627843928563325,0.02535609816639115,435.040166306133
Oil & Gas,,Biomass,198727.22150499723,55.10235759398289,,2022.0,Combustion,,0.010950338423027003,184.3973605985932
,39548.422723556374,Natural Gas,179339.15877977177,87.33303574177998,India-East,2022.0,Mixed Process,3.368499631516612,0.01566223316361456,396.0267460751502
Steel,58730.3985062709,Oil,140414.99282977078,85.2689063028282,India-Central,2020.0,Mixed Process,4.989752692580308,0.01197303286711402,203.86432191219689
Power,53906.63395000334,Coal,242445.71205337622,86.20038515470502,,2022.0,Combustion,5.1556224907148405,,387.6872330312964
Steel,41917.372157108926,Biomass,174375.45568540576,79.44692461949472,India-South,2020.0,,4.483651472019585,0.013853593683328475,330.49766649026424
Steel,34871.67973885688,Coal,171894.56321077055,65.2012721880091,,2024.0,Mixed Process,5.113302777816005,0.011207744203544387,321.39960814837946
,20560.614624911315,Biomass,199308.2594214841,83.87987731377737,India-West,,Chemical Reaction,5.4239133338525995,0.0167179523478966,813.1056708606886
,55244.750709495405,Biomass,150919.55685665665,68.76568230048116,India-Central,2017.0,Chemical Reaction,1.5628236648954816,0.010378086299734253,187.85651426517308
,,Oil,291705.3980781889,78.07857230684394,India-West,2020.0,Mixed Process,4.992703406095555,0.022775941016144566,858.5636575318797
Fertilizer,51430.162991619625,Electricity,258074.70740588385,64.08150842018824,India-South,,,6.3583946121042505,0.01653781653566776,
Power,46048.27675876626,Natural Gas,,69.8266291191637,India-South,2018.0,Combustion,4.158919080724845,0.014286070299545851,310.2411491832036
Cement,60187.14163157293,,148925.20330180155,72.8512647554382,India-West,,Combustion,6.344575553725194,0.010849389414497004,180.26091820259558
Fertilizer,45469.317507652035,,152164.5015584065,80.99585856598412,India-Central,2018.0,Chemical Reaction,4.878443924681183,,271.0551889175385
Oil & Gas,45058.28320479363,,149518.47819966616,83.50790959204846,India-South,2020.0,Chemical Reaction,4.595574326571313,0.012485975559838393,277.10721917851595
,60978.060564324434,Coal,126158.16644852304,100.43549116794,India-South,2022.0,Chemical Reaction,4.819596229110655,0.01267075741210414,207.7920697188792
Steel,55025.870436261765,Natural Gas,219361.15722437575,77.22189700420529,India-West,2018.0,Combustion,2.674374036240571,0.016939484689904027,307.84582880021094
Oil & Gas,54742.33935774167,Coal,161453.73438309855,60.78405633046765,India-South,2024.0,Chemical Reaction,6.505887040224398,0.009813812885506625,179.2728078603523
Steel,57039.01384712789,Electricity,158026.93020883173,86.99948445759094,India-Central,2015.0,,3.9035384092109933,0.013748261458584064,241.03259385639495
Cement,26966.418151893413,Electricity,,80.06451404122095,India-South,2019.0,Chemical Reaction,3.062196449228114,0.012102855053758226,448.8121108849764
,,Oil,,72.14442800869607,India-West,2021.0,Mixed Process,3.8596230768090956,0.0187730418055616,305.98992311106883
Power,59187.03191020404,Natural Gas,154485.52998543455,68.99287891017961,India-Central,2020.0,Combustion,4.527668351189468,0.010658401463660008,180.08001279453353
Power,34749.75307135254,Oil,276142.6691000969,65.72645363239768,India-East,2017.0,Chemical Reaction,5.855312256733816,0.018149878336534055,522.3023685741437
Oil & Gas,46338.79289488698,Natural Gas,182738.37267590905,65.22814970582323,India-West,2021.0,Chemical Reaction,4.40945241664872,0.011919685929902711,257.229098672053
Cement,49410.39068558553,Electricity,125295.15272549135,56.693013759207744,India-East,2018.0,Combustion,4.114555212970011,0.007103359817428317,143.76247017817198
Oil & Gas,47982.54823397401,Electricity,228156.06815021802,,India-South,2019.0,,4.133513737248204,0.020416009318195462,425.4882258158169
Oil & Gas,55007.89949852802,Biomass,253236.571397455,81.52199341535736,India-Central,2021.0,Mixed Process,2.872787811366675,0.020644350105991,
Cement,71470.50172746775,,148518.0018023361,76.39586208592361,India-South,2016.0,Combustion,3.867724135684143,0.011346160782968222,158.75305907650616
Cement,66226.50091509243,Electricity,203794.4308678258,65.6887592442192,India-Central,2018.0,Mixed Process,3.791681493947075,,202.1396739917223
Cement,30316.712098528908,Electricity,219107.77028897766,91.34052564166397,India-North,2018.0,Combustion,4.800066424631765,0.02001341891036818,660.1447691730172
Cement,59331.04985459073,Coal,205738.03113338628,53.69046152926722,India-South,2020.0,Mixed Process,2.432539190548998,,186.17856708664934
Power,69933.99979303114,Coal,172511.3435741464,73.03510642760776,,2021.0,Mixed Process,3.9702410430225954,0.01259938433790739,180.1610715130712
Chemicals,55802.12781033804,Oil,252897.22186502392,89.73219551138165,India-South,2018.0,Mixed Process,6.069180114914571,0.022693022956677588,406.6694917765022
Chemicals,66364.70637778951,Biomass,184932.98843587554,,India-West,2024.0,Chemical Reaction,5.003944602058467,0.008342433202255691,125.70587074951153
Cement,80184.05668551147,Biomass,163659.20758337076,,India-Central,2015.0,,5.627998007046919,0.01270662338924905,158.46820321258477
,65355.64319160472,Electricity,94095.02562061495,65.09764421393878,India-Central,2015.0,Chemical Reaction,4.028303174319098,0.006125364500152246,93.7235745992793
Chemicals,53739.62893462593,Electricity,94654.5262933004,76.81741636772803,India-Central,2019.0,Chemical Reaction,6.499323699961044,0.007271116157362517,135.3026863324234
Cement,65676.3271112713,Oil,212954.23223157364,69.38324050552103,India-West,2015.0,Chemical Reaction,5.456352481585222,0.014775454711591854,224.973827884113
Chemicals,52173.31749645337,Biomass,,83.90536934409333,India-Central,2017.0,Mixed Process,4.582145451153893,0.016393179788726932,314.2061991714693
Oil & Gas,50358.54564927433,Coal,253246.70114717772,93.48815679311944,India-South,2023.0,Chemical Reaction,,0.023675567304187614,470.14001295982183
Steel,44728.78646429401,Natural Gas,267817.06049179187,112.69989561285925,India-East,2017.0,,3.0171562682992197,0.030182954760767756,674.7993215702852
Steel,73451.20038248162,Oil,185293.78468605014,73.2990022631674,India-North,2017.0,Combustion,2.99207321133255,0.013581849543053642,184.90983771986063
Cement,37723.57001086998,Natural Gas,256918.99378460622,86.06959128120364,India-Central,2023.0,Mixed Process,5.468445771943474,0.022112912787419156,586.1829296921621
,72985.51587017174,Coal,166289.23322493397,80.13231095922909,India-West,2019.0,Chemical Reaction,5.860575400394244,0.013325140545952179,182.5723965513272
Cement,57497.96185610557,Coal,191006.60899686097,81.24122279022453,India-West,2022.0,Combustion,3.396237483374316,0.015517610475919288,269.88105273633295
Power,29010.407377970878,Natural Gas,189290.90437993238,97.13699921373562,India-Central,2024.0,Chemical Reaction,5.525453089279175,0.018387150429920795,633.8122105752683
,55514.73939487132,Oil,294743.75277401856,64.737099107289,India-East,2023.0,,5.141686370828873,0.01908085553458593,343.70791870003256
Cement,18499.60238522564,Natural Gas,123290.83358322608,69.62572502227862,India-Central,2020.0,Mixed Process,,0.008584213676833213,464.0215231700781
Fertilizer,59382.62025246554,Oil,203548.25936868013,72.36789512025028,India-West,2021.0,Combustion,3.3077465349252866,0.014730359085902145,248.05842219955844
Oil & Gas,63278.47224483486,Oil,158237.89536020663,60.227270340032355,India-North,2021.0,Chemical Reaction,3.634389971744359,0.009530236501896916,150.60787916975707
Chemicals,41114.6606652192,,182059.10165019345,74.97787597739949,India-East,2021.0,Combustion,3.9135321187375456,0.01365040474408497,332.00820639710355
Power,51853.21543933373,Biomass,179493.04572062907,84.86954884605353,,2018.0,Mixed Process,,0.015233493811313848,293.78108343418836
Fertilizer,79312.3615062543,Biomass,204323.83601266606,87.4254293628577,India-North,,Combustion,2.589415993124917,0.017863099092473456,225.2246529195179
Chemicals,42413.79943607095,Coal,280815.0501685669,72.24261432643495,India-Central,,Mixed Process,3.915084692194424,0.020286813366386255,478.30691039514073
Chemicals,34116.386194151,Electricity,314120.02202044276,92.13053893654593,India-East,2021.0,Combustion,4.881509083267824,0.028940046919503068,848.2741036758642
Cement,72224.95103693899,Biomass,239394.28986518946,43.893261923999,India-West,2024.0,Mixed Process,5.294456724579691,0.0105077962681625,145.48706668957595
,79438.80785796192,Oil,,109.88073085023586,India-East,2021.0,Mixed Process,3.7912450278366876,0.015520875411340352,195.38152484730094
Oil & Gas,50055.43507771771,Oil,189522.39166607457,83.5088491893787,India-South,2024.0,Mixed Process,6.29312500379611,0.01582679682365258,316.1853812493963
Fertilizer,65171.94553112534,Natural Gas,,68.54346638862798,,2021.0,Mixed Process,4.5242245072881655,0.014780447680490232,226.79156744570818
Chemicals,70122.13873296321,Natural Gas,175584.60425988983,81.93152492180202,India-North,2022.0,,7.542620149595789,0.014385914379803908,205.1550999405176
,38862.73651192424,Oil,,72.7081949954522,India-North,2017.0,Mixed Process,3.6039113023086298,0.013332901715275769,343.07675969202114
Oil & Gas,42720.41246948198,Oil,195730.36676348303,43.6617307450807,India-East,2019.0,Chemical Reaction,4.934099413088474,0.00854592657226309,200.04316621165611
Steel,68463.11769732102,Natural Gas,246332.73026627756,75.70358560112736,India-East,2020.0,Mixed Process,4.39482142045004,0.01864827093207256,272.3841910693803
Fertilizer,75275.21418062763,Biomass,231810.9017242029,88.67260422910579,India-East,2022.0,Combustion,3.6991183366961327,0.020555276344582377,273.0683209383994
Chemicals,58443.21290261532,Coal,163390.05977073463,89.45688381488404,India-North,2022.0,Combustion,5.5339030805964455,0.014616365593417566,250.09517559845665
Cement,36802.784697469186,Natural Gas,235570.05023798445,,India-West,2024.0,Chemical Reaction,5.415303402354176,0.01855714071116996,504.23197221937596
,79805.91667549162,Biomass,,89.36657446918421,India-North,2017.0,Combustion,4.192237084369162,0.027119330963680358,339.8160448924296
,,Biomass,109223.09393974357,81.53159890096393,India-West,,Mixed Process,4.882132491738126,0.008905133485817477,211.84824567872644
Power,44972.933282428225,Biomass,173760.22432755877,78.33863884241056,India-East,2020.0,Combustion,4.811694058214777,0.013612139458772867,302.6740411457971
Oil & Gas,55135.06751734432,Electricity,169198.6875682156,64.66510603129545,India-South,2018.0,Chemical Reaction,4.186416529596878,0.010941251071954693,198.4445030109523
Chemicals,73312.40631072162,Electricity,204794.99891250412,69.79184025185823,,2024.0,Combustion,3.593004581177225,0.014293019848480968,194.96045168538788
Cement,62809.63964828335,Biomass,90567.48978071558,71.15457472651184,India-East,2018.0,Chemical Reaction,4.497822292815473,0.006444291219394524,102.60035331329357
Power,56222.982505428656,Oil,,79.28217701991228,India-North,2019.0,Mixed Process,4.271164254678132,0.022331033143522163,397.18691802531055
Oil & Gas,56949.32795177159,Electricity,202807.50573998954,87.04729797749322,India-East,2024.0,Mixed Process,3.226271734209927,0.017653845384221035,
Power,50652.72002965199,Natural Gas,217888.00383255343,,India-North,2021.0,Combustion,5.289186265567181,0.014333455753963054,282.9750454777607
Fertilizer,58372.092717777596,Electricity,210938.9828140218,54.12358779920618,India-Central,2016.0,Combustion,4.553801038428484,0.01141677455660995,195.58617868659863
Oil & Gas,12056.598834585457,Oil,169008.04988240672,96.59641262984297,India-North,2016.0,Combustion,4.337007586348797,0.016325571324206044,1354.0776754862782
Oil & Gas,45550.88811395303,Coal,241919.27033399447,60.470686781099054,India-Central,2024.0,Mixed Process,2.7106262243760098,0.014629024422679009,321.15783090951163
Chemicals,53619.829023751714,Electricity,,82.35142503815919,,2023.0,Combustion,4.880503130678799,0.016496126980387073,307.6497497423922
Oil & Gas,32734.788745707392,Biomass,74920.10387750462,78.79775305183105,India-North,2018.0,Mixed Process,2.7140636179257154,0.005903535843957139,
Power,55794.8497671734,Biomass,193510.18188863815,69.83497011243593,India-West,2019.0,Chemical Reaction,4.669297862125488,0.013513777768645086,
Oil & Gas,46932.931685208176,Biomass,183345.66148642587,84.11186700630834,India-South,2017.0,Combustion,5.522820523783575,0.015421545895129883,328.58688646527236
Chemicals,76332.13547473235,Coal,,56.885553086344686,India-Central,2016.0,Combustion,6.494601072044082,0.01375518279028659,180.20172899315605
Chemicals,73595.29587822285,Oil,362084.7853393821,99.46094498213563,India-North,2024.0,Chemical Reaction,4.580305263035814,0.03601329491350867,489.34234836285447
Fertilizer,,Natural Gas,222661.1167039998,114.52316701277378,India-West,2022.0,Chemical Reaction,6.610006432285567,0.025499856255542887,592.8418333907474
Power,47737.43432649957,,327187.9128673644,93.46372692381854,India-East,2018.0,Chemical Reaction,5.379226539312287,0.03058020174100948,640.5916483038569
Steel,48890.78651587411,Coal,158826.41421131164,62.848635997341255,India-West,2015.0,Chemical Reaction,5.066921883571126,0.009982023493529673,204.16982840496254
Steel,43225.10785760566,Biomass,162672.56991024088,40.1146835972099,India-North,2020.0,Mixed Process,5.839075195403038,,150.96685688769466
Oil & Gas,52925.3747604219,Oil,185213.96527659352,82.16045810986992,India-South,2020.0,Combustion,6.106888218005255,0.015217264235470464,287.5230322761943
Fertilizer,38625.76896668615,Natural Gas,225511.52842220548,55.59941347124911,India-Central,2016.0,Mixed Process,5.488152271678194,0.012538308711279547,324.60994426010143
Cement,33040.7699759371,Biomass,161563.84111658693,68.8026116078268,,2016.0,Mixed Process,4.330696593106272,0.01111601421021317,336.43326769650736
Oil & Gas,59340.66835850403,Natural Gas,103289.2139938849,97.84232933738514,India-West,2022.0,Chemical Reaction,3.8564122291317764,0.010106057292589336,170.30575442012275
,59442.94376332716,Electricity,201383.31130878977,99.35522974294025,India-North,2021.0,Combustion,2.950867182430459,0.020008485161478864,336.5998366625803
Power,37935.26360510012,Natural Gas,131420.3617534042,100.97498561961712,India-North,2016.0,Mixed Process,4.701678497159786,0.013270169138174867,349.810911459985
Power,63430.331461439,Biomass,266949.7399897329,76.47621788342265,India-Central,2024.0,Mixed Process,5.917580147337478,0.02041530647937784,321.854009099556
Power,40526.33406252003,Electricity,238632.2186222547,,India-East,2015.0,Chemical Reaction,3.345942634698922,0.021106780185663993,520.8164190993081
Power,53797.478570569714,,154428.51480441334,45.128359133583785,India-West,2022.0,Combustion,3.2080964935603715,0.006969105476559525,129.5433477875304
Power,62305.16018918684,Biomass,227347.52378320112,52.51268205150852,India-West,2024.0,Combustion,6.657514263027144,0.01193862823162501,191.61540064055526
Fertilizer,49495.811529444305,Electricity,167110.48627331882,70.6770659043448,India-West,2016.0,Combustion,4.192573564104208,0.01181087885164646,238.62380445303637
Fertilizer,56821.113682117015,Natural Gas,196868.47198531573,87.61945198945463,India-Central,,Mixed Process,2.435202941576826,0.017249507629354666,303.57566952763733
,42253.55534168643,,197499.71269565768,68.60381579948066,India-Central,2020.0,Chemical Reaction,2.7522654683964523,0.013549233910223252,320.6649428824721
Steel,47053.00124857854,Coal,179862.16853091124,87.03987582162527,India-East,2024.0,Combustion,5.031195558987277,0.01565518081393875,332.71375679594274
,46912.1085367949,Coal,249840.79265209698,57.696677527967324,India-West,2015.0,Mixed Process,3.928718627220627,0.014414983646979788,307.2763961499105
Cement,38801.324801896415,Coal,,76.53047125129977,India-West,2016.0,Mixed Process,5.074143315681038,0.010167086713513716,262.02937052852377
Fertilizer,,Oil,232218.5672419928,83.24823555587425,India-East,2024.0,Combustion,4.233952647318504,0.01933178598620904,408.2881590098982
Cement,26770.7255170438,Coal,218271.7471273614,86.36106809495168,India-East,2018.0,Chemical Reaction,4.75353696311593,0.01885018121687013,
Cement,42632.69379286843,Electricity,115725.53170021201,68.22659003463153,India-East,2016.0,Chemical Reaction,,0.00789555840785012,185.19961338147684
Cement,45726.86759945494,Coal,152334.7329888696,,India-North,2020.0,Combustion,4.276077425857209,0.01149059934004375,251.28769896717608
Chemicals,46157.3037125693,Biomass,134367.24628144325,51.88888473072615,India-East,2018.0,Mixed Process,5.912956607313364,0.006972166553882901,151.0522927703916
Fertilizer,46377.53831193832,Coal,178014.39916201466,,India-South,2017.0,Chemical Reaction,4.6361700888174955,,281.8278412950551
Cement,49073.53700209806,Natural Gas,,91.22518799987935,India-Central,2020.0,Mixed Process,3.119186351657256,0.018510100359792725,377.191078747826
Power,57191.62277129096,Electricity,144296.81275358045,71.05663894524082,India-East,2023.0,,6.871645161514882,0.010253246524780187,179.27881790979902
,63117.75611198784,Electricity,258147.71634943716,63.78101219982227,India-North,2022.0,Chemical Reaction,7.046831247513355,0.01646492264583971,260.86039270196045
Cement,40253.52159727599,Oil,263466.9541384923,86.7214117308814,India-South,2016.0,Mixed Process,4.316234195203716,0.022848226207325437,567.608132175735
Chemicals,31951.987169162832,Biomass,,109.27812932491358,,2017.0,Mixed Process,4.682166181032437,0.029949329922962696,937.3229203054725
Fertilizer,34369.33381635346,Electricity,36917.288607182214,107.59905641280417,India-North,2016.0,Combustion,5.98745487343241,0.003972265419451972,115.57586308414007
Chemicals,42691.956182076094,Natural Gas,316890.0940415424,78.92133917851156,India-North,2024.0,,4.2782133115624426,0.02500939059416299,585.8103687612937
Cement,44721.18023275236,Coal,209963.26223214038,86.55754646548294,India-North,2021.0,Mixed Process,5.65978063654285,0.01817390482670287,406.38249554498304
Fertilizer,38450.059007038144,Electricity,202837.9707984139,99.57944338786322,India-West,2023.0,Chemical Reaction,3.5234402790418025,0.02019849223002971,
